iter	Passed	Remaining
437	1637	2100
438	1639	2095
439	1642	2090
440	1648	2089
441	1650	2084
442	1653	2078
443	1655	2073
444	1657	2067
445	1662	2064
446	1664	2059
447	1667	2054
448	1669	2048
449	1671	2043
450	1674	2038
451	1677	2033
452	1679	2028
453	1682	2023
454	1684	2017
455	1686	2012
456	1689	2007
457	1692	2002
458	1694	1997
459	1697	1992
460	1699	1987
461	1702	1982
462	1705	1977
463	1707	1972
464	1709	1967
465	1712	1962
466	1714	1957
467	1717	1951
468	1719	1946
469	1721	1941
470	1724	1936
471	1726	1931
472	1729	1926
473	1731	1921
474	1733	1916
475	1736	1911
476	1738	1906
477	1741	1901
478	1743	1896
479	1746	1891
480	1748	1886
481	1751	1882
482	1753	1877
483	1756	1872
484	1758	1867
485	1761	1862
486	1764	1858
487	1766	1853
488	1769	1848
489	1773	1846
490	1776	1841
491	1778	1836
492	1782	1832
493	1784	1827
494	1786	1823
495	1789	1818
496	1791	1813
497	1793	1808
498	1797	1804
499	1799	1799
500	1802	1795
501	1804	1790
502	1807	1785
503	1809	1780
504	1812	1777
505	1815	1772
506	1817	1767
507	1820	1762
508	1822	1757
509	1824	1753
510	1828	1749
511	1830	1744
512	1832	1739
513	1835	1735
514	1837	1730
515	1839	1725
516	1842	1721
517	1844	1716
518	1847	1712
519	1849	1707
520	1851	1702
521	1854	1697
522	1857	1694
523	1860	1689
524	1862	1685
525	1864	1680
526	1867	1675
527	1869	1671
528	1872	1667
529	1875	1663
530	1877	1658
531	1879	1653
532	1882	1649
533	1884	1644
534	1887	1640
535	1890	1636
536	1892	1631
537	1895	1627
538	1897	1622
539	1902	1620
540	1905	1616
541	1908	1612
542	1911	1609
543	1915	1605
544	1920	1603
545	1925	1601
546	1929	1597
547	1931	1593
548	1938	1592
549	1942	1589
550	1945	1585
551	1959	1589
552	1969	1592
553	1972	1588
554	1975	1584
555	1977	1579
556	1982	1576
557	1984	1572
558	1991	1571
559	2004	1575
560	2010	1573
561	2017	1572
562	2026	1572
563	2033	1572
564	2036	1568
565	2055	1576
566	2062	1575
567	2066	1571
568	2070	1568
569	2073	1564
570	2078	1561
571	2081	1557
572	2083	1552
573	2086	1548
574	2093	1547
575	2097	1543
576	2099	1539
577	2102	1534
578	2104	1530
579	2109	1527
580	2112	1523
581	2114	1518
582	2117	1514
583	2119	1509
584	2124	1507
585	2126	1502
586	2129	1498
587	2131	1493
588	2134	1489
589	2138	1485
590	2141	1481
591	2143	1477
592	2146	1473
593	2149	1468
594	2151	1464
595	2155	1461
596	2158	1457
597	2161	1452
598	2163	1448
599	2166	1444
600	2169	1440
601	2172	1436
602	2175	1431
603	2177	1427
604	2180	1423
605	2182	1419
606	2187	1415
607	2189	1411
608	2192	1407
609	2195	1403
610	2197	1399
611	2201	1395
612	2203	1391
613	2206	1386
614	2208	1382
615	2210	1378
616	2212	1373
617	2216	1370
618	2218	1365
619	2221	1361
620	2223	1356
621	2225	1352
622	2227	1348
623	2231	1344
624	2233	1340
625	2235	1335
626	2238	1331
627	2240	1327
628	2242	1322
629	2246	1319
630	2248	1315
631	2251	1310
