iter	RMSE
0	1.284837525
1	1.247220373
2	1.20686518
3	1.169694128
4	1.133905076
5	1.098878521
6	1.063276919
7	1.032092083
8	0.9970107281
9	0.9677166896
10	0.938876535
11	0.9087889257
12	0.8811566282
13	0.8528371202
14	0.8255130108
15	0.8037558566
16	0.7796869881
17	0.7549985391
18	0.7307425926
19	0.7076287901
20	0.6835163281
21	0.6609990476
22	0.6435263834
23	0.625707085
24	0.6069646885
25	0.5869336583
26	0.57062258
27	0.554340295
28	0.5371274327
29	0.5208673077
30	0.5065956141
31	0.4912891691
32	0.4773030607
33	0.4641273646
34	0.4497527655
35	0.4369377353
36	0.4242419029
37	0.4142192704
38	0.4018151209
39	0.3910151321
40	0.3803215678
41	0.3723379817
42	0.3637691782
43	0.3525073541
44	0.3429191095
45	0.3329959649
46	0.3232079143
47	0.3155987869
48	0.3084127045
49	0.3000804973
50	0.2926390326
51	0.2845712
52	0.2774082316
53	0.2704310176
54	0.2646846546
55	0.2576672822
56	0.2515338786
57	0.2454397461
58	0.2394866609
59	0.2339010066
60	0.2289406029
61	0.2236324887
62	0.2185647057
63	0.2143664912
64	0.2095788509
65	0.2053534074
66	0.2013004191
67	0.1973605096
68	0.1935271149
69	0.1895342227
70	0.1857237825
71	0.1819890549
72	0.1786825171
73	0.1754873453
74	0.1730272321
75	0.1701163033
76	0.1672778891
77	0.1650588879
78	0.1625012317
79	0.1601661153
80	0.1580620829
81	0.1557871753
82	0.153865848
83	0.151697479
84	0.1495972999
85	0.1479329464
86	0.1464344413
87	0.1448279995
88	0.1431824381
89	0.1414897527
90	0.1397807682
91	0.1384389774
92	0.1368657917
93	0.1355789434
94	0.1343871117
95	0.1332340963
96	0.1321493018
97	0.1308555424
98	0.1299427033
99	0.1289953783
100	0.1278452407
101	0.1267902488
102	0.1258927754
103	0.124877524
104	0.1240212352
105	0.1233467608
106	0.1224108547
107	0.1214610244
108	0.1208638199
109	0.1199534144
110	0.1190879518
111	0.1184365001
112	0.1178096365
113	0.1173581677
114	0.1167260098
115	0.1161196463
116	0.1156392126
117	0.1151516766
118	0.1146265371
119	0.1141365994
120	0.1136747588
121	0.113222257
122	0.112636698
123	0.1120597065
124	0.1116131666
125	0.111289583
126	0.1108705755
127	0.1105311055
128	0.1101829914
129	0.1098990874
130	0.1095777652
131	0.1091042912
132	0.1087802141
133	0.1085039443
134	0.1080983938
135	0.1076960853
136	0.1074067505
137	0.1071010771
138	0.1067662838
139	0.1065226626
140	0.1062055467
141	0.1059190526
142	0.1055920042
143	0.105275362
144	0.1049458014
145	0.1046608979
146	0.1044935847
147	0.1042607219
148	0.1040465162
149	0.1037125389
150	0.1035025007
151	0.1032169219
152	0.1029710293
153	0.1027195643
154	0.1025194656
155	0.1021908312
156	0.1019648436
157	0.101809244
158	0.1015612659
159	0.1013431904
160	0.1011619099
161	0.1010448829
162	0.1008569348
163	0.100629613
164	0.1005250055
165	0.1002604961
166	0.1000120653
167	0.09980579068
168	0.09960992709
169	0.09945827626
170	0.09924393359
171	0.09900324744
172	0.09881492586
173	0.09854454985
174	0.09838270486
175	0.09815833463
176	0.09798481485
177	0.09779779639
178	0.09762734616
179	0.09746358585
180	0.0971683436
181	0.09696234167
182	0.09683971764
183	0.09657674174
184	0.09638759704
185	0.09622312966
186	0.09603042956
187	0.09585316131
188	0.09566992588
189	0.09554021805
190	0.09540529095
191	0.09525000133
192	0.09497458551
193	0.09480362998
194	0.09453351557
195	0.09437448791
196	0.09420797188
197	0.09398320154
198	0.09378355749
199	0.09365903944
200	0.0934752917
201	0.09323603476
202	0.09297815285
203	0.09278205757
204	0.09264473292
205	0.09242050896
206	0.09227596206
207	0.09207865776
208	0.09185500242
209	0.09165461846
210	0.09147640656
211	0.09129123658
212	0.09109517369
213	0.09087138928
214	0.09073563459
215	0.09052252286
216	0.09030510265
217	0.09018834862
218	0.08997492272
219	0.08977420099
220	0.08967484892
221	0.08951579621
222	0.08936509591
223	0.08924523224
224	0.08909044237
225	0.08893308491
226	0.08874975359
227	0.08868871529
228	0.08854435469
229	0.08833170996
230	0.08805938782
231	0.08790664365
232	0.08778154978
233	0.08762240968
234	0.08744797496
235	0.08729565596
236	0.08711075073
237	0.08698923594
238	0.08687644261
239	0.08677365416
240	0.0866151503
241	0.08653323994
242	0.08637761364
243	0.08622994079
244	0.08612053738
245	0.08592238041
246	0.08572454038
247	0.08548683501
248	0.08533469689
249	0.08524333135
250	0.08506850029
251	0.08490504833
252	0.08479962598
253	0.08473127152
254	0.08455059653
255	0.08445741625
256	0.08430356773
257	0.08417682149
258	0.08408177089
259	0.08397111797
260	0.08384159912
261	0.08364113787
262	0.08350279982
263	0.08336482618
264	0.08320753193
265	0.08304681829
266	0.0829365938
267	0.08280028913
268	0.08266372798
269	0.08258962835
270	0.08246677318
271	0.08236783086
272	0.08221388953
273	0.08204979044
274	0.08193292582
275	0.08180824033
276	0.08170799775
277	0.08163469824
278	0.08147029343
279	0.08135223933
280	0.08117358322
281	0.08109550302
282	0.08102954561
283	0.08088152691
284	0.08077802159
285	0.08067314714
286	0.08051366214
287	0.08038510719
288	0.08025607073
289	0.08013768636
290	0.07994743667
291	0.07986307063
292	0.07975450888
293	0.07958501718
294	0.07946070056
295	0.07933777687
296	0.07923109257
297	0.0790978654
298	0.07894408668
299	0.07881865287
300	0.07862963533
301	0.07854470109
302	0.07848188823
303	0.07836535378
304	0.07827069586
305	0.07810525337
306	0.07799803065
307	0.07790628587
308	0.07785538613
309	0.07776270269
310	0.07765911959
311	0.07753933812
312	0.07741222891
313	0.07735188495
314	0.07727488977
315	0.07720866494
316	0.07711629331
317	0.07698906242
318	0.07692091897
319	0.07676295952
320	0.07665337296
321	0.07654553059
322	0.07642222485
323	0.07631238682
324	0.07620598782
325	0.07611530088
326	0.07604450195
327	0.07591137846
328	0.07586490115
329	0.07578183629
330	0.07568896332
331	0.07561049291
332	0.07550688949
333	0.07541696274
334	0.07533261685
335	0.07522017559
336	0.07508650087
337	0.07490670166
338	0.07480757689
339	0.07470378793
340	0.07461535051
341	0.07452455595
342	0.07441202181
343	0.07431090108
344	0.07418421975
345	0.07414172396
346	0.07403194498
347	0.07398180813
348	0.07384063071
349	0.07367894944
350	0.07358144489
351	0.07348154851
352	0.07340384394
353	0.07332203881
354	0.07321149275
355	0.07315706914
356	0.07304871178
357	0.07294840899
358	0.07288755026
359	0.07276747842
360	0.07269345531
361	0.07261959088
362	0.07249785981
363	0.07238283527
364	0.07222432039
365	0.07213196986
366	0.07202946268
367	0.07187213107
368	0.07177847471
369	0.07162940535
370	0.07146605957
371	0.07137926251
372	0.07128324975
373	0.07117111922
374	0.07113450024
375	0.07102447411
376	0.07094303725
377	0.07085473604
378	0.07076380788
379	0.07070804591
380	0.07059519769
381	0.07048564718
382	0.07038369425
383	0.07026705809
384	0.07022611055
385	0.07013008708
386	0.07004927849
387	0.06984819764
388	0.06976577354
389	0.06967573563
390	0.06957380926
391	0.0694609401
392	0.06936618337
393	0.06934850469
394	0.06920608532
395	0.06915644774
396	0.06905455431
397	0.06890660341
398	0.06875425891
399	0.06862499002
400	0.06855385074
401	0.06846517075
402	0.06836672516
403	0.06829776484
404	0.06820241849
405	0.06806953721
406	0.06799797916
407	0.06795102082
408	0.06788119166
409	0.06771883379
410	0.06760636833
411	0.0675138818
412	0.06743960783
413	0.06736262437
414	0.06729168768
415	0.06722972753
416	0.067125101
417	0.06708636893
418	0.06692215523
419	0.066846493
420	0.06681608369
421	0.06668860678
422	0.06655647627
423	0.06648825001
424	0.06638940459
425	0.06634440813
426	0.06624750773
427	0.06619070392
428	0.06607970378
429	0.06595505477
430	0.06580378478
431	0.06568342182
432	0.06554973076
433	0.06549995584
434	0.06543145586
435	0.06535737559
436	0.0652719644
437	0.06519668011
438	0.06512406504
439	0.06497318007
440	0.06483696563
441	0.06473186825
442	0.06469416073
443	0.06465551115
444	0.06460165872
445	0.06454991636
446	0.06445857064
447	0.06441340634
448	0.0643472797
449	0.06427124217
450	0.06410774365
451	0.06407452729
452	0.06401637585
453	0.06393121068
454	0.06388691549
455	0.0637504215
456	0.06369187333
457	0.06360391183
458	0.06353275097
459	0.06345723226
460	0.0634008001
461	0.06327857618
462	0.06321584877
463	0.06313931024
464	0.06304873277
465	0.0630051397
466	0.06287583074
467	0.06279412658
468	0.06265656462
469	0.06261268359
470	0.0625770077
471	0.06257343781
472	0.06247361244
473	0.06241759867
474	0.06231751512
475	0.06224073858
476	0.06215275489
477	0.06202463481
478	0.06199120188
479	0.06190934972
480	0.06182245679
481	0.0618110648
482	0.06169269056
483	0.06163951677
484	0.06156913564
485	0.06150900868
486	0.06145789997
487	0.06137145826
488	0.06125761342
489	0.06121692575
490	0.06115624028
491	0.06104109035
492	0.06090684844
493	0.06089758896
494	0.06076586204
495	0.06062587963
496	0.06052246816
497	0.06049573324
498	0.06040293686
499	0.06036501197
500	0.06031498123
501	0.06020454195
502	0.06007853316
503	0.05994297395
504	0.0598941225
505	0.05987555716
506	0.0598164014
507	0.05976575234
508	0.05972609989
509	0.05963577897
510	0.05950389867
511	0.05938731279
512	0.05931395188
513	0.05922938452
514	0.0591097101
515	0.05905279467
516	0.05893512042
517	0.05882146341
518	0.05873013833
519	0.05869462572
520	0.05867895404
521	0.05863133521
522	0.05858888675
523	0.05854002649
524	0.05841182278
525	0.05831341495
526	0.05826850012
527	0.05816153346
528	0.05810653328
529	0.05807616077
530	0.05797450423
531	0.05795060562
532	0.05791646888
533	0.05782778437
534	0.05774027103
535	0.05768296185
536	0.05758179879
537	0.05753406733
538	0.05747880969
539	0.05743065562
540	0.05735244308
541	0.05724148118
542	0.05720172948
543	0.05710099125
544	0.05703010094
545	0.05697095583
546	0.05694400101
547	0.05690221807
548	0.05683107705
549	0.05677627052
550	0.05674296012
551	0.05669109388
552	0.05660465774
553	0.0565319985
554	0.05651612332
555	0.05638309972
556	0.05631249466
557	0.05624560036
558	0.05618957804
559	0.0560710647
560	0.05594748697
561	0.05586444113
